sort,Family,Genus,Taxa,specimen numbers,,Portik,phylogeny notes,guild,ecology,Spec_lotic,ecology_source,lung_text,lung,lung_info,JRP_dissection_museum,museum dissection N = ,stage range exained,visit number,JRP_dissection_fresh,Histological_sections_examined,Dice_CT_material_reviewed,PHD_dissection_museum,air-breathing,literature_morphology,literature,Conflicting Source,Notes,Taxa_clone,development_high,development_low,source,source 2 (if needed),notes on larval period,Jetz_name
89,Bufonidae,Melanophryniscus,Melanophryniscus_setiba,,,,,lentic,1,0,"Peloso et al., 2012",,,,,,,,,,,,,,,,Important root taxa: included to make estimates of ancestral state more robust,0,,,,,,
90,Bufonidae,Mertensophryne,Mertensophryne_micranotis,,,,,"lentic, arboreal",1,0,,absent,0,buds,,,,,,,,,,,"Lehtinen et al., 2004",,,Mertensophryne_micranotis,,,,,,
91,Bufonidae,Metaphryniscus,,,,,,endotroph,,0,,,,,,,,,,,,,,,,,,0,,,,,,
92,Bufonidae,Nannophryne,Nannophryne_cophotis,KU_215584,,,,lentic,1,0,,absent,0,buds,KU,1,,2,,,,,,,KU,,,Nannophryne_cophotis,,,,,,
93,Bufonidae,Nectophryne,,,,,,"lentic, arboreal",1,0,,,,,,,,,,,,,,,,,,0,,,,,,
94,Bufonidae,Nectophrynoides,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
95,Bufonidae,Nimbaphrynoides,,,,,,viviparous,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
96,Bufonidae,Oreophrynella,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
97,Bufonidae,Osornophryne,Osornophryne_sp,,,Osornophryne_guacamayo,assumed generic monophyly and only 1 member represented,endotroph,2,0,,absent,0,,,,,,,,,Dias,,,Dias,,,Osornophryne_sp,,,,,,Osornophryne_guacamayo
98,Bufonidae,Parapelophryne,,,,,,lotic,0,0,,,,,,,,,,,,,,,,,,0,,,,,,
99,Bufonidae,Pedostibes,,,,,,"lotic, benthic",0,0,,,,,,,,,,,,,,,,,,0,,,,,,
100,Bufonidae,Pelophryne,,,,,,"lentic, arboreal",1,0,,,,,,,,,,,,,,,,,,0,,,,,,
101,Bufonidae,Peltophryne,Peltophryne_lemur,KU_288694,,,,lentic,1,0,,absent,0,buds,KU,1,~31,1,,,,,,,KU,,,Peltophryne_lemur,,,,,,
102,Bufonidae,Peltophryne,Peltophryne_peltocephala,,,,,"lentic, benthic",1,0,,absent,0,buds,,,,,,,,,,,"Haas, 2003",,,Peltophryne_peltocephala,,,,,,
103,Bufonidae,Phrynoidis,Phrynoidis_asper,KU_332539,,,,"lotic, suctorial",0,1,,absent,0,buds,KU,1,~32,1,,,,,,,KU,,,Phrynoidis_aspera,,,,,,
104,Bufonidae,Poyntonophrynus,,,,,,"lentic, benthic",1,0,,,,,,,,,,,,,,,,,,0,,,,,,
105,Bufonidae,Pseudobufo,,,,,,unknown,4,0,,,,,,,,,,,,,,,,,,0,,,,,,
106,Bufonidae,Rentapia,Rentapia_hosii,,,,,lotic,0,0,,absent,0,buds,,,,,,,,,,,"Haas, 2003",,,Rentapia_hosii,,,,,,Pedostibes_hosii
107,Bufonidae,Rhaebo,Rhaebo_caeruleostictus,KU_132520,,?,Cannot be robustly included - three members sampled,lentic,1,0,,absent,0,buds,KU,1,~37,1,,,,,,,KU,,,Rhaebo_caeruleostictus,,,,,,Rhaebo_guttatus
108,Bufonidae,Rhaebo,Rhaebo_glaberrimus,,,,,lotic,0,0,"Lynch, J.D. 2006. The amphibian fauna in the Villavicencio region of Eastern Colombia. Caldasia 28(1): 135-155.",absent,0,buds,,,,,,,,Dias,,,Dias,,,Rhaebo_glaberrimus,,,,,,
109,Bufonidae,Rhaebo,Rhaebo_guttatus,KU_291565,,,,lentic,1,0,IUCN,,?,,,,,,,,,,,,,,,,,,,,,
110,Bufonidae,Rhaebo,Rhaebo_haematiticus,KU_68327,,,,lotic,0,0,"Savage, 2002",,?,,,,,,,,,,,,,,,,,,,,,
111,Bufonidae,Rhaebo,Rhaebo_nasicus,USNM,,,,"lotic, suctorial",0,1,"Phillips et al., in prep",,?,,,,,,,,,,,,,,,,,,,,,
112,Bufonidae,Rhinella,Rhinella_acutirostris,,,,,"lentic, benthic",1,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Rhinella_acutirostris,,,,,,Rhinella_ocellata
113,Bufonidae,Rhinella,Rhinella_amabilis,KU_142846,,Rhinella_limensis,"Sister species with limensis, according to Pereyra et al., 2021",,,,,absent,0,buds,KU,1,,2,,,,,,,KU,,,Rhinella_amabilis,,,,,,
114,Bufonidae,Rhinella,Rhinella_arenarum,,,,,"lentic, benthic",1,0,,absent,0,buds,,,,,,,,,,,"Haas, 2003",,,Rhinella_arenarum,,,,,,
115,Bufonidae,Rhinella,Rhinella_beebei,,,,,lentic,1,0,IUCN,,?,,,,,,,,,,,,,,,,,,,,,Rhinella_centralis
116,Bufonidae,Rhinella,Rhinella_castaneotica,,,,,"lentic, arboreal",1,0,,absent,0,buds,,,,,,,,,,,"Caldwell and Araujo, 2004",,,Rhinella_castaneotica,,,,,,
117,Bufonidae,Rhinella,Rhinella_chrysophora,KU_206749,,?,Cannot be robustly included - 3+ members sampled,"lotic, gastromyzophorous",0,1,,absent,0,buds,KU,1,~38,1,,,,,,,KU,,"Pereyra, Martín O., et al. ""Evolution in the genus Rhinella: a total evidence phylogenetic analysis of Neotropical true toads (Anura: Bufonidae)."" Bulletin of the American Museum of Natural History 447.1 (2021): 1-156.",Rhinella_chrysophora,,,,,,
118,Bufonidae,Rhinella,Rhinella_crucifer,,,,,lentic,1,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Rhinella_crucifer,,,,,,
119,Bufonidae,Rhinella,Rhinella_granulosa,,,,,"lentic, benthic",1,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Rhinella_granulosa,,,,,,
120,Bufonidae,Rhinella,Rhinella_icterica,,,,,lentic,1,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Rhinella_icterica,,,,,,
121,Bufonidae,Rhinella,Rhinella_jimi,,,Rhinella_horribilis,"Sister species with horribilis, according to Pereyra et al., 2021","lentic, benthic",1,0,10.2307/40983603,absent,0,buds,,,,,,,,Dias,,,Dias,,,Rhinella_jimi,,,,,,
122,Bufonidae,Rhinella,Rhinella_marina,,,,,"lentic, benthic",1,0,,absent,0,buds,,,,,,JRP - Gosner stages 24 to 42,,,,,"Haas, 2003",,,Rhinella_marina,,,,,,
123,Bufonidae,Rhinella,Rhinella_schneideri,,,,,lentic,1,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Rhinella_schneideri,,,,,,
124,Bufonidae,Rhinella,Rhinella_spinulosa,,,,,"lotic, benthic",0,0,,,,,,,,,,,,,,,dicect,,,Rhinella_spinulosa,,,,,,
125,Bufonidae,Rhinella,Rhinella_veraguensis,,,,,"lotic, gastromyzophorous",0,1,,,?,,,,,,,,,,,,,,,,,,,,,
126,Bufonidae,Sabahphrynus,,,,,,"lotic, gastromyzophorous",0,1,,,,,,,,,,,,,,,,,,0,,,,,,
127,Bufonidae,Schismaderma,Schismaderma_branchi,,,,,lentic,1,0,Conradie,,?,,,,,,,,,,,,,,,,,,,,,
